Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,896231
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,874311
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,55-64,30,30,NA,966785
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,55-64,14,14,NA,962634
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,65-74,47,47,NA,701184
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,65-74,25,25,NA,724102
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,75-84,94,94,NA,340637
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,75-84,58,58,NA,349013
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,85+,144,144,NA,154018
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,85+,58,58,NA,150346
By Year,2020,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,All Ages,327,327,NA,NA
By Year,2021,-1,Massachusetts,Respiratory diseases,Respiratory arrest,R09.2,All Ages,169,169,NA,NA
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2052800
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0,0,NA,994871
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,10,11,NA,896231
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,18,21,NA,874311
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,30,31,NA,966785
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,51,56,NA,962634
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,59,60,NA,701184
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,78,82,NA,724102
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,126,131,NA,340637
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,98,104,NA,349013
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,194,197,NA,154018
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,71,79,NA,150346
By Year,2020,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,423,434,NA,NA
By Year,2021,-1,Massachusetts,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,329,355,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,17,17,NA,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,24,24,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,74,74,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,54,54,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,147,147,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,106,107,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,250,250,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,156,158,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,85+,488,492,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,85+,186,191,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,980,984,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,536,544,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0,0,NA,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,5,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,18,20,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,35,37,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,40,41,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,107,111,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,120,134,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,220,226,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,123,129,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,85+,367,381,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,85+,166,176,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,739,767,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,469,502,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,25-34,14,14,NA,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,35-44,16,16,NA,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,35-44,16,16,NA,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,45-54,35,35,NA,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,45-54,58,58,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,55-64,120,120,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,55-64,155,155,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,65-74,252,252,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,65-74,217,217,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,75-84,330,330,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,75-84,269,269,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,85+,473,473,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,85+,257,257,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,All Ages,1230,1230,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrest,I46,All Ages,989,989,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,12,12,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,35,35,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,44,44,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,88,90,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,90,92,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,141,141,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,125,130,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,343,346,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,191,195,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,622,627,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,474,485,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,25-34,0,0,NA,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,55-64,28,28,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,55-64,31,31,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,65-74,107,107,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,65-74,82,82,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,75-84,247,247,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,75-84,153,153,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,85+,472,472,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,85+,245,245,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Heart failure,I50,All Ages,864,864,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Heart failure,I50,All Ages,521,521,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,0,NA,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,10,11,NA,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,11,11,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,42,43,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,22,23,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,83,87,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,34,35,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,111,112,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,65,65,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,158,161,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,68,70,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,405,415,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,205,210,NA,NA
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2059336
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2052800
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,10,10,NA,894485
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,896231
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,16,17,NA,874311
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,49,51,NA,966785
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,40,42,NA,962634
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,105,114,NA,701184
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,92,101,NA,724102
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,124,131,NA,340637
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,92,98,NA,349013
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,187,195,NA,154018
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,128,141,NA,150346
By Year,2020,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,482,511,NA,NA
By Year,2021,-1,Massachusetts,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,383,416,NA,NA
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2052800
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,994871
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,35-44,13,13,NA,894485
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,45-54,28,28,NA,896231
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,45-54,36,36,NA,874311
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,55-64,95,95,NA,966785
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,55-64,107,107,NA,962634
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,65-74,171,171,NA,701184
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,65-74,160,160,NA,724102
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,75-84,232,232,NA,340637
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,75-84,152,152,NA,349013
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,85+,221,221,NA,154018
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,85+,105,105,NA,150346
By Year,2020,-1,Massachusetts,Sepsis,Sepsis,A40-A41,All Ages,751,751,NA,NA
By Year,2021,-1,Massachusetts,Sepsis,Sepsis,A40-A41,All Ages,580,580,NA,NA
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2059336
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,0,NA,2052800
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,0,NA,994871
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,981999
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,882667
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,894485
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,11,15,NA,896231
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,13,14,NA,874311
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,42,46,NA,966785
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,48,53,NA,962634
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,104,117,NA,701184
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,91,94,NA,724102
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,133,144,NA,340637
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,130,146,NA,349013
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,148,161,NA,154018
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,84,93,NA,150346
By Year,2020,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,440,485,NA,NA
By Year,2021,-1,Massachusetts,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,368,402,NA,NA
By Year,2020,-1,Massachusetts,Diabetes,Diabetes,E10-E14,0-24,0,0,NA,2059336
By Year,2021,-1,Massachusetts,Diabetes,Diabetes,E10-E14,0-24,0,0,NA,2052800
