"Group","Year","Month","State","Condition.Group","Condition","ICD10_codes","Age.Group","COVID.19.Deaths","Number.of.Mentions","Flag"
"By Year",2020,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",100,104,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",123,127,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",96,97,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",94,102,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","85+",102,104,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","85+",69,71,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",372,380,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",424,441,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","0-24",0,0,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","35-44",17,17,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","45-54",17,17,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","45-54",32,32,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","55-64",41,41,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","55-64",57,57,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","65-74",61,61,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","65-74",75,75,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","75-84",52,52,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","75-84",63,63,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","85+",38,38,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","85+",34,34,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","All Ages",216,216,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrest","I46","All Ages",285,285,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",0,0,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",0,0,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",12,12,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",20,20,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",29,29,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",33,34,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",39,39,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",39,41,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",41,41,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",103,106,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",131,131,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","25-34",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","55-64",11,11,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","65-74",19,19,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","65-74",32,32,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","75-84",26,26,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","75-84",35,35,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","85+",53,53,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","85+",41,42,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Heart failure","I50","All Ages",109,109,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Heart failure","I50","All Ages",124,125,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","65-74",22,22,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","65-74",30,30,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","75-84",28,28,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","75-84",25,26,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","85+",25,26,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","85+",33,33,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",92,94,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",111,113,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","25-34",0,0,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","35-44",20,23,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","45-54",13,13,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","45-54",25,28,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","55-64",18,18,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","55-64",33,37,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","65-74",23,24,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","65-74",54,60,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","75-84",38,43,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","75-84",31,34,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","85+",25,26,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","85+",31,33,""
"By Year",2020,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",123,131,""
"By Year",2021,-1,"New Mexico","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",204,227,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","25-34",15,15,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","35-44",10,10,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","35-44",17,17,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","45-54",23,23,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","45-54",26,26,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","55-64",34,34,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","55-64",57,57,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","65-74",48,48,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","65-74",63,63,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","75-84",45,45,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","75-84",54,54,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","85+",27,27,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","85+",23,23,""
"By Year",2020,-1,"New Mexico","Sepsis","Sepsis","A40-A41","All Ages",197,197,""
"By Year",2021,-1,"New Mexico","Sepsis","Sepsis","A40-A41","All Ages",258,258,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","25-34",0,0,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","35-44",0,0,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","45-54",5,12,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","55-64",13,17,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","55-64",28,32,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","65-74",17,17,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","65-74",40,48,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","75-84",30,32,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","75-84",33,35,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","85+",24,26,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","85+",19,21,""
"By Year",2020,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",87,95,""
"By Year",2021,-1,"New Mexico","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",132,154,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","35-44",19,19,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","35-44",25,25,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","45-54",42,42,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","45-54",74,74,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","55-64",98,100,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","55-64",120,120,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","65-74",147,148,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","65-74",189,190,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","75-84",131,131,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","75-84",114,114,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","85+",61,61,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","85+",50,51,""
"By Year",2020,-1,"New Mexico","Diabetes","Diabetes","E10-E14","All Ages",510,513,""
"By Year",2021,-1,"New Mexico","Diabetes","Diabetes","E10-E14","All Ages",583,585,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","25-34",10,10,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","25-34",28,28,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","35-44",23,23,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","35-44",69,69,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","45-54",35,35,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","45-54",74,74,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","55-64",57,57,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","55-64",98,98,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","65-74",40,40,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","65-74",70,70,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","75-84",12,12,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","75-84",16,16,""
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","85+",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","85+",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Obesity","Obesity","E65-E68","All Ages",185,185,""
"By Year",2021,-1,"New Mexico","Obesity","Obesity","E65-E68","All Ages",366,366,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","0-24",0,0,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","25-34",0,0,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","25-34",0,0,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","35-44",0,0,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","35-44",0,0,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","45-54",0,0,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","45-54",0,0,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","55-64",0,0,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","65-74",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","65-74",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","75-84",32,32,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","75-84",15,15,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","85+",54,54,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","85+",34,34,""
"By Year",2020,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","All Ages",90,90,""
"By Year",2021,-1,"New Mexico","Alzheimer disease","Alzheimer disease","G30","All Ages",55,55,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","0-24",0,0,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","0-24",0,0,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","25-34",0,0,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","25-34",0,0,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","35-44",0,0,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","35-44",0,0,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","45-54",0,0,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","45-54",0,0,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","65-74",15,15,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","65-74",10,10,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","75-84",82,82,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","75-84",37,37,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","85+",140,140,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","85+",50,50,""
"By Year",2020,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",239,239,""
"By Year",2021,-1,"New Mexico","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",98,98,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","25-34",10,10,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","35-44",10,10,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","35-44",28,28,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","45-54",17,17,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","45-54",44,45,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","55-64",36,36,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","55-64",81,82,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","65-74",62,63,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","65-74",103,108,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","75-84",42,44,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","75-84",64,67,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","85+",24,25,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","85+",32,33,""
"By Year",2020,-1,"New Mexico","Renal failure","Renal failure","N17-N19","All Ages",199,203,""
"By Year",2021,-1,"New Mexico","Renal failure","Renal failure","N17-N19","All Ages",365,376,""
